EmployeeID,Department,SystemUsageHours,ProductivityScore
4735,Legal,8.14,2.31
3867,Operations,10.44,7.35
5542,Finance,27.28,6.75
3096,Operations,18.64,2.91
5060,Marketing,38.67,7.4
1773,Operations,4.8,2.95
3332,Legal,46.47,8.05
4492,IT,20.51,9.33
2884,IT,27.35,4.66
1847,HR,41.52,4.45
3771,Operations,14.09,8.31
3030,Engineering,7.01,3.78
3359,Finance,17.98,2.34
4195,Engineering,14.38,5.02
2378,IT,39.66,5.26
2262,IT,33.41,1.64
4107,HR,15.84,8.33
2798,IT,0.19,1.36
4456,Engineering,43.41,8.52
4517,IT,28.49,1.59
4697,Finance,38.88,1.2
3047,Operations,12.52,7.88
1696,Engineering,24.04,9.63
4038,Operations,46.86,3.58
5043,Legal,22.78,9.12
4942,Legal,39.3,4.96
3852,Operations,28.42,2.52
1667,IT,38.44,9.57
4908,Operations,7.62,9.83
3631,Legal,45.31,6.76
5989,Finance,2.2,2.61
3041,IT,31.4,9.02
3130,Legal,22.26,4.91
4082,Sales,49.29,8.52
5472,HR,43.35,3.69
2862,IT,44.48,2.72
4808,Engineering,36.41,7.11
4831,Finance,30.09,7.99
4426,HR,38.47,2.23
1248,Operations,26.41,2.12
1523,Finance,7.29,8.63
3595,Finance,48.17,3.97
2039,Legal,8.38,9.17
5978,Marketing,37.97,7.78
2203,HR,10.01,9.14
3071,HR,43.55,6.74
1588,Operations,46.91,8.89
1803,Engineering,7.49,6.36
2365,Operations,18.54,9.05
3158,Legal,46.1,5.5
3786,Finance,21.77,9.37
4493,Finance,39.91,7.01
4457,HR,3.72,5.39
2439,Finance,15.82,5.02
4726,Finance,36.38,9.43
4887,Operations,28.89,9.12
2633,Operations,44.22,2.24
5495,Operations,32.9,1.35
3116,Legal,37.48,7.63
2930,Legal,39.3,9.79
2117,Operations,11.54,6.39
1498,Sales,4.55,6.34
5914,IT,37.4,2.5
2007,Marketing,13.53,5.18
1499,Finance,21.92,1.9
4846,Marketing,28.83,9.27
1696,Engineering,8.02,6.15
4379,Engineering,35.85,8.45
1464,Engineering,24.77,2.09
3268,Sales,41.13,6.86
1264,Legal,33.45,6.01
1490,Sales,46.64,1.48
4760,Marketing,46.96,7.98
5494,Sales,34.58,8.02
1823,Operations,0.32,3.53
5931,Engineering,2.56,9.47
2216,Operations,42.16,5.68
5451,Legal,40.94,3.43
3552,Finance,6.9,1.23
5802,Operations,17.28,9.21
5548,Marketing,44.98,9.22
5692,IT,31.59,3.68
5564,Finance,36.8,8.98
5718,Finance,14.78,1.63
3021,Marketing,24.07,8.46
1333,Operations,8.14,6.78
5646,Sales,3.73,7.85
3976,Operations,45.07,3.75
