EmployeeID,Quarter,PerformanceScore,CompletedProjects,OverdueTasks
1229,Q1,2,8,2
1544,Q2,4,9,3
2436,Q4,3,8,0
3493,Q4,3,1,1
2548,Q2,1,6,1
2578,Q1,3,6,4
3551,Q1,2,9,1
5287,Q2,4,4,2
5463,Q4,1,0,3
1627,Q2,5,8,1
2928,Q4,3,7,0
2701,Q4,4,5,1
3948,Q4,3,1,1
3694,Q3,4,6,1
2879,Q1,5,4,4
5388,Q4,3,4,4
5037,Q4,2,1,4
3518,Q2,3,5,1
2097,Q2,2,3,1
1596,Q1,1,9,0
5214,Q1,4,5,0
5829,Q1,3,1,1
1007,Q1,4,7,0
3570,Q1,3,8,2
2057,Q4,4,1,1
5463,Q1,2,0,4
2708,Q1,2,6,0
2070,Q3,4,0,2
3117,Q1,3,6,1
3920,Q4,2,7,0
3345,Q4,4,1,1
3930,Q2,4,2,0
5205,Q1,4,1,0
2785,Q2,3,1,3
5594,Q2,1,9,4
2887,Q1,1,0,3
4855,Q2,3,3,3
2366,Q2,5,1,1
1005,Q1,4,9,1
2525,Q1,3,0,4
2341,Q3,3,7,1
2749,Q1,5,6,4
4370,Q3,1,9,0
5516,Q1,2,4,2
1828,Q4,5,7,0
4750,Q3,1,5,3
3521,Q3,4,9,4
2875,Q4,4,7,2
1876,Q3,1,5,0
2808,Q2,2,1,0
1967,Q4,1,6,1
3431,Q3,3,2,2
1327,Q3,2,1,2
2321,Q1,1,3,4
2072,Q4,3,5,0
4186,Q3,2,7,4
1171,Q4,5,2,4
1009,Q2,5,0,4
5514,Q3,2,7,4
4715,Q1,4,9,1
3358,Q2,1,1,2
4422,Q1,3,0,1
1185,Q4,1,0,3
2220,Q3,2,2,2
5066,Q3,3,8,3
2659,Q1,5,7,2
1253,Q3,2,1,1
1822,Q4,4,3,0
2416,Q3,2,9,4
1975,Q2,2,4,1
1794,Q1,1,7,0
4981,Q3,4,1,2
4529,Q4,4,0,4
2570,Q3,3,1,0
2202,Q3,5,6,2
4900,Q4,4,7,1
4519,Q2,3,9,0
2092,Q2,3,8,2
5910,Q3,3,5,4
3774,Q4,3,4,1
5685,Q2,3,9,2
4746,Q2,2,5,0
3123,Q4,3,3,3
1487,Q2,3,0,1
1526,Q4,4,3,3
1902,Q2,3,6,0
2702,Q2,1,3,2
1644,Q2,5,0,3
4172,Q4,3,6,1
3746,Q1,2,7,1
3070,Q3,1,2,1
4898,Q2,1,2,1
3186,Q3,2,2,3
5028,Q2,4,0,1
5544,Q1,4,9,1
2788,Q1,2,4,4
2031,Q4,2,9,2
2075,Q1,5,7,0
2280,Q2,2,3,2
3132,Q1,3,0,2
5474,Q1,1,4,2
3762,Q3,3,7,1
3224,Q1,5,2,4
4075,Q3,4,9,0
1797,Q1,3,2,4
3528,Q3,5,0,3
5658,Q2,2,8,1
5160,Q4,1,7,4
4052,Q1,1,3,1
1465,Q2,2,6,1
2847,Q1,3,5,3
2118,Q4,3,9,2
1387,Q3,3,5,1
3270,Q3,1,8,3
5705,Q4,2,8,0
3336,Q1,5,2,3
1079,Q1,4,7,1
5003,Q2,3,0,4
5394,Q1,3,8,4
4665,Q4,5,7,0
4225,Q1,1,3,3
4569,Q4,1,5,3
3612,Q3,5,6,4
3518,Q4,5,7,3
4830,Q3,5,9,3
5925,Q4,3,3,1
3775,Q4,4,4,1
2552,Q2,2,3,4
5167,Q1,5,4,0
3299,Q1,5,6,2
2176,Q4,2,2,2
2401,Q4,1,8,2
2355,Q3,3,7,1
5947,Q2,5,7,2
2942,Q1,2,6,3
