LogID,EmployeeID,ProjectID,Date,HoursWorked
1,2135,76,2024-08-20,1
2,1744,32,2024-12-30,4
3,1673,164,2024-07-09,3
4,3912,164,2024-07-26,7
5,1531,138,2024-09-17,7
6,4022,101,2024-04-01,5
7,1562,107,2024-06-01,6
8,1302,169,2024-04-21,7
9,4768,131,2024-10-06,4
10,5281,120,2025-02-18,6
11,1510,48,2024-09-24,3
12,4446,176,2025-02-01,1
13,3204,49,2024-12-24,8
14,3835,167,2024-05-26,1
15,1795,58,2024-03-22,3
16,3480,144,2024-06-28,7
17,2524,157,2024-04-25,4
18,5857,113,2024-05-01,6
19,3195,193,2024-10-28,1
20,3529,92,2025-02-10,1
21,1435,45,2024-09-27,3
22,3039,98,2024-11-18,2
23,2707,80,2025-01-21,2
24,1069,188,2024-03-31,5
25,2905,104,2024-10-21,4
26,4960,90,2024-12-31,6
27,3952,22,2024-02-26,1
28,5650,153,2024-08-20,8
29,3714,88,2024-05-14,1
30,4370,7,2024-11-29,3
31,5596,149,2024-11-21,1
32,4728,65,2024-04-09,5
33,3405,124,2024-04-25,3
34,4326,130,2024-12-02,2
35,4547,17,2025-01-04,4
36,3304,48,2025-01-20,5
37,4682,147,2024-11-11,7
38,4222,47,2024-09-04,1
39,5375,189,2024-05-22,4
40,2083,142,2024-07-27,7
41,1446,56,2024-02-22,8
42,5932,157,2024-11-10,6
43,5851,2,2024-09-10,3
44,2593,11,2025-01-24,7
45,3776,32,2024-06-05,7
46,4817,110,2024-09-30,5
47,4054,163,2024-12-24,6
48,2591,43,2024-11-29,2
49,3232,73,2024-12-17,8
50,2562,34,2025-01-11,2
51,5273,192,2024-05-02,8
52,4647,47,2024-08-29,6
53,5943,9,2024-09-19,7
54,4239,131,2024-05-22,8
55,2601,173,2024-03-14,3
56,3057,21,2024-08-04,3
57,5332,186,2024-05-11,1
58,1710,123,2024-10-15,1
59,3972,99,2024-11-04,3
60,3733,168,2024-07-19,4
61,1794,178,2024-05-04,3
